Комиссия,УИК,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Амосов Михаил Иванович,Амосов Михаил Иванович %,Беглов Александр Дмитриевич,Беглов Александр Дмитриевич %,Тихонова Надежда Геннадьевна,Тихонова Надежда Геннадьевна %
Территориальная избирательная комиссия №1,УИК №1,1803,1200,587,11,602,11,587,23,575,0,0,110,18.39,345,57.69,120,20.07
Территориальная избирательная комиссия №1,УИК №2,1466,1100,433,14,653,14,430,19,425,0,0,53,11.94,326,73.42,46,10.36
Территориальная избирательная комиссия №1,УИК №3,2092,1600,576,22,1002,22,576,15,583,0,0,155,25.92,332,55.52,96,16.05
Территориальная избирательная комиссия №1,УИК №4,1056,1000,318,4,678,4,318,13,309,0,0,67,20.81,171,53.11,71,22.05
Территориальная избирательная комиссия №1,УИК №5,1827,1400,495,8,897,8,493,16,485,0,0,137,27.35,266,53.09,82,16.37
Территориальная избирательная комиссия №1,УИК №6,1557,1200,453,13,734,13,453,12,454,0,0,118,25.32,263,56.44,73,15.67
Территориальная избирательная комиссия №1,УИК №7,2095,1600,532,17,1051,17,532,13,536,0,0,131,23.86,305,55.56,100,18.21
Территориальная избирательная комиссия №1,УИК №8,1523,1100,590,13,497,13,590,19,584,0,0,127,21.06,364,60.36,93,15.42
Территориальная избирательная комиссия №1,УИК №9,1463,1300,473,26,801,26,473,17,482,0,0,128,25.65,253,50.70,101,20.24
Территориальная избирательная комиссия №1,УИК №10,1629,1200,486,7,707,7,486,14,479,0,0,118,23.94,267,54.16,94,19.07
Территориальная избирательная комиссия №1,УИК №11,1916,1500,521,15,964,14,521,21,514,0,0,96,17.94,329,61.50,89,16.64
Территориальная избирательная комиссия №1,УИК №12,2570,1900,704,9,1187,9,700,30,679,0,0,158,22.28,376,53.03,145,20.45
Территориальная избирательная комиссия №1,УИК №13,325,350,60,264,26,264,60,2,322,0,0,6,1.85,295,91.05,21,6.48
Территориальная избирательная комиссия №1,УИК №14,2457,2000,612,8,1380,8,612,19,601,0,0,85,13.71,435,70.16,81,13.06
Территориальная избирательная комиссия №1,УИК №15,1765,1600,477,179,944,179,477,33,623,0,0,111,16.92,403,61.43,109,16.62
Территориальная избирательная комиссия №1,УИК №16,1849,1500,616,17,867,17,616,26,607,0,0,127,20.06,357,56.40,123,19.43
Территориальная избирательная комиссия №1,УИК №17,1701,1300,458,22,820,22,458,18,462,0,0,101,21.04,288,60.00,73,15.21
Территориальная избирательная комиссия №1,УИК №18,1539,1300,410,27,863,27,410,23,414,0,0,91,20.82,250,57.21,73,16.70
Территориальная избирательная комиссия №1,УИК №19,1614,1500,556,11,933,11,555,21,545,0,0,137,24.20,311,54.95,97,17.14
Территориальная избирательная комиссия №1,УИК №20,1568,1200,394,13,793,13,394,12,395,0,0,79,19.41,236,57.99,80,19.66
Территориальная избирательная комиссия №1,УИК №21,1736,1300,522,17,761,17,522,21,518,0,0,138,25.60,283,52.50,97,17.99
Территориальная избирательная комиссия №1,УИК №22,1630,1200,517,36,647,36,517,23,530,0,0,101,18.26,334,60.40,95,17.18
Территориальная избирательная комиссия №1,УИК №23,1344,1300,565,15,720,15,545,24,536,0,0,101,18.04,332,59.29,103,18.39
Территориальная избирательная комиссия №1,УИК №24,1750,1300,433,8,859,8,428,9,427,0,0,103,23.62,238,54.59,86,19.72
Территориальная избирательная комиссия №1,УИК №25,1930,1600,617,12,971,12,591,13,590,0,0,114,18.91,382,63.35,94,15.59
Территориальная избирательная комиссия №1,УИК №26,1005,1000,327,7,666,7,327,15,319,0,0,66,19.76,199,59.58,54,16.17
Территориальная избирательная комиссия №1,УИК №27,1059,1200,415,9,776,9,415,13,411,0,0,91,21.46,254,59.91,66,15.57
Территориальная избирательная комиссия №1,УИК №28,1106,1000,385,143,472,143,372,18,497,0,0,92,17.86,325,63.11,80,15.53
Территориальная избирательная комиссия №1,УИК №29,1609,1200,406,19,775,19,406,13,412,0,0,120,28.24,219,51.53,73,17.18
Территориальная избирательная комиссия №1,УИК №30,1381,1100,449,15,636,15,422,10,427,0,0,64,14.65,309,70.71,54,12.36
Территориальная избирательная комиссия №1,УИК №31,2357,1600,1274,9,317,9,1242,68,1183,0,0,216,17.27,618,49.40,349,27.90
Территориальная избирательная комиссия №1,УИК №32,1915,1700,709,9,982,9,684,31,662,0,0,162,23.38,383,55.27,117,16.88
Территориальная избирательная комиссия №1,УИК №33,2438,2100,574,8,1518,8,573,27,554,0,0,72,12.39,418,71.94,64,11.02
Территориальная избирательная комиссия №1,УИК №34,1799,1700,558,85,1057,84,558,24,618,0,0,124,19.31,386,60.12,108,16.82
Территориальная избирательная комиссия №1,УИК №35,1229,1000,425,8,567,8,425,13,420,0,0,61,14.09,312,72.06,47,10.85
Территориальная избирательная комиссия №1,УИК №36,1605,1300,454,29,817,29,447,19,457,0,0,66,13.87,301,63.24,90,18.91
Территориальная избирательная комиссия №1,УИК №37,1079,1000,377,8,615,8,377,40,345,0,0,23,5.97,310,80.52,12,3.12
Территориальная избирательная комиссия №1,УИК №38,1793,1300,471,11,818,11,471,16,466,0,0,89,18.46,280,58.09,97,20.12
Территориальная избирательная комиссия №1,УИК №39,1953,1500,447,31,1022,31,447,16,462,0,0,110,23.01,275,57.53,77,16.11
